\fixlen = T
|set|TIME        |ndiv_PDCSAP_FLUX|
|int|double      |double          |
 0   131.5123033  1.00091729452    
 0   131.5327377  1.00000847839    
 0   131.5531720  1.00006235581    
 0   131.5736062  1.00012984878    
 0   131.5940405  0.999822705677   
 0   131.6144749  0.999465945227   
 0   131.6349091  0.999798565248   
 0   131.6553433  1.00084169906    
 0   131.6757777  1.00027911848    
 0   131.6962120  1.00020034885    
 0   131.7166462  1.00101293739    
 0   131.7370805  0.999957023355   
 0   131.7575149  0.999967464717   
 0   131.7779491  0.999890616294   
 0   131.7983834  1.0006222634     
 0   131.8188178  1.00007338189    
 0   131.8392520  0.999695154001   
 0   131.8596863  0.999567685856   
 0   131.8801205  0.999935472384   
 0   131.9005548  1.00051793331    
 0   131.9209891  0.999905568324   
 0   131.9414234  1.00072993472    
 0   131.9618577  0.999550812616   
 0   131.9822920  1.00056471061    
 0   132.0027263  0.999862299321   
 0   132.0231605  0.999705010647   
 0   132.0435949  1.00026926184    
 0   132.0640292  0.999559082174   
 0   132.0844634  1.0005903546     
 0   132.1048976  0.999981330845   
 0   132.1253320  1.00044125195    
 0   132.1457662  1.00050314834    
 0   132.1662005  1.00011548146    
 0   132.1866349  1.00022340338    
 0   132.2070692  1.00095947762    
 0   132.2275034  0.999419251457   
 0   132.2479377  0.999674187747   
 0   132.2683721  1.00024328373    
 0   132.2888062  1.00091052851    
 0   132.3092405  1.00017954966    
 0   132.3296749  1.00029665997    
 0   132.3501091  1.00013628065    
 0   132.3705434  1.0006882528     
 0   132.3909777  1.00005918164    
 0   132.4114120  1.00060096302    
 0   132.4318463  1.0000501603     
 0   132.4522806  0.999753207973   
 0   132.4727149  1.00054842209    
 0   132.4931491  1.00055042683    
 0   132.5135834  0.999643782501   
 0   132.5340176  1.00057740731    
 0   132.5544520  1.00029557407    
 0   132.5748863  1.00040817372    
 0   132.5953205  1.00004322724    
 0   132.6157549  1.00032130159    
 0   132.6361892  0.999807670116   
 0   132.6566234  0.999629749311   
 0   132.6770576  0.999546636071   
 0   132.6974920  0.999198980489   
 0   132.7179263  0.998856754415   
 0   132.7383605  0.99988092671    
 0   132.7587949  1.00019934648    
 0   132.7792292  1.00050231303    
 0   132.7996634  1.00081521976    
 0   132.8200976  1.00013151939    
 0   132.8405320  1.0002807891     
 0   132.8609662  1.00001357377    
 0   132.8814005  1.00058918516    
 0   132.9018349  1.0002112914     
 0   132.9222691  1.00054098784    
 0   132.9427034  1.0008823786     
 0   132.9631377  0.999974397781   
 0   132.9835720  1.00026090875    
 0   133.0040062  1.00025163682    
 0   133.0244405  1.00069042461    
 0   133.0448748  0.999649212009   
 0   133.0653091  1.00010169886    
 0   133.0857434  1.00006945594    
 0   133.1061777  1.0004405837     
 0   133.1266119  1.00019458522    
 0   133.1470462  1.00013335707    
 0   133.1674805  0.99989771642    
 0   133.1879148  1.00045912756    
 0   133.2083492  1.00038587097    
 0   133.2287834  1.00008148439    
 0   133.2492177  1.00034143253    
 0   133.2696519  1.00055209745    
 0   133.2900862  0.999831810544   
 0   133.3105205  0.999799317026   
 0   133.3309547  1.00043423535    
 0   133.3513891  1.00013302295    
 0   133.3718234  1.00025748398    
 0   133.3922577  1.0000923434     
 0   133.4126919  1.00003687889    
 0   133.4331262  1.00034686204    
 0   133.4535605  1.00014805851    
 0   133.4739947  0.999864972309   
 0   133.4944291  0.999764651705   
 0   133.5148634  1.00016752121    
 0   133.5352976  0.999840581288   
 0   133.5557319  1.00007296424    
 0   133.5761662  0.999685798541   
 0   133.5966004  1.00009793997    
 0   133.6170347  1.00023610007    
 0   133.6374691  0.99986973357    
 0   133.6579034  1.00040383011    
 0   133.6783375  0.999812180784   
 0   133.6987719  0.999666252312   
 0   133.7192062  0.999572864772   
 0   133.7396404  1.00002017271    
 0   133.7600747  0.999874160708   
 0   133.7805091  0.999532185226   
 0   133.8009433  1.00006736767    
 0   133.8213775  1.00041260085    
 0   133.8418118  0.999984672081   
 0   133.8622461  0.999825295134   
 0   133.8826804  0.999727396926   
 0   133.9031147  0.999613043132   
 0   133.9235490  1.0006109032     
 0   133.9439832  0.999586313246   
 0   133.9644175  1.00009894234    
 0   133.9848517  0.999685464417   
 0   134.0052861  0.999735332361   
 0   134.0257204  0.999915090846   
 0   134.0461546  1.00111492861    
 0   134.0665889  0.9998333141     
 0   134.0870232  0.999579964898   
 0   134.1074574  1.00020903606    
 0   134.1278917  1.00006377584    
 0   134.1483261  0.999772420078   
 0   134.1687604  1.00054199021    
 0   134.1891945  1.00012943112    
 0   134.2096289  1.00039547702    
 0   134.2300632  1.00005709337    
 0   134.2504974  0.999628329286   
 0   134.2709317  0.999837072991   
 0   134.2913660  1.00013227117    
 0   134.3118002  1.00064840857    
 0   134.3322345  1.00065818168    
