\fixlen = T
|set|TIME       |ndiv_PDCSAP_FLUX|
|int|double     |double          |
 0   138.4392654 1.00108924461    
 0   138.4596999 1.00051990233    
 0   138.4801345 1.00075335911    
 0   138.5005692 1.00052755665    
 0   138.5210037 1.00066874407    
 0   138.5414382 1.00049874857    
 0   138.5618728 1.00167793145    
 0   138.5823074 1.00058732994    
 0   138.6027420 1.00127628837    
 0   138.6231766 1.00021887878    
 0   138.6436112 1.00126598983    
 0   138.6640458 1.00049325138    
 0   138.6844803 1.00076553644    
 0   138.7049148 1.00107859815    
 0   138.7253495 1.00096907178    
 0   138.7457841 1.00095070141    
 0   138.7662186 1.00042039616    
 0   138.7866533 1.00093184395    
 0   138.8070878 1.00213955657    
 0   138.8275223 1.00178606612    
 0   138.8479569 1.00137593371    
 0   138.8683916 1.00163708521    
 0   138.8888262 1.00062198313    
 0   138.9092607 1.00119696178    
 0   138.9296953 1.00063569132    
 0   138.9501299 1.00125583046    
 0   138.9705644 1.00097776987    
 0   138.9909990 1.001568753      
 0   139.0114337 1.00090352296    
 0   139.0318682 1.00133425245    
 0   139.0523027 1.00157863404    
 0   139.0727374 1.00048594498    
 0   139.0931719 1.00057452634    
 0   139.1136065 1.00142095503    
 0   139.1340411 1.0010747014     
 0   139.1544756 1.00071675754    
 0   139.1749102 1.001121184      
 0   139.1953448 1.00080680018    
 0   139.2157793 1.00126696402    
 0   139.2362140 1.0015683355     
 0   139.2566486 1.00155226142    
 0   139.2770830 1.00161210429    
 0   139.2975177 1.00056673285    
 0   139.3179523 1.00088932767    
 0   139.3383869 1.00171543762    
 0   139.3588214 1.00104881588    
 0   139.3792561 1.0016795319     
 0   139.3996906 1.00132792024    
 0   139.4201251 1.00080777437    
 0   139.4405598 1.0010391436     
 0   139.4609944 1.00170131192    
 0   139.4814289 1.00119125583    
 0   139.5018634 1.00071487875    
 0   139.5222981 0.993839350493   
 0   139.5427326 0.991263671617   
 0   139.5631672 0.992210302319   
 0   139.5836019 1.00020440515    
 0   139.6040363 1.00128463854    
 0   139.6244709 1.0021271009     
 0   139.6449055 1.00045769358    
 0   139.6653402 1.00081334115    
 0   139.6857747 1.00090477549    
 0   139.7062093 1.00077409536    
 0   139.7266438 1.00098090118    
 0   139.7470784 1.0010223041     
 0   139.7675130 1.00106544663    
 0   139.7879476 1.00094033328    
 0   139.8083822 1.00171808184    
 0   139.8288167 1.00211826364    
 0   139.8492513 1.00054669245    
 0   139.8696859 1.00097923115    
 0   139.8901205 1.00176171147    
 0   139.9105551 1.00080812229    
 0   139.9309896 1.00188856443    
 0   139.9514243 1.00071571377    
 0   139.9718588 1.0014867126     
 0   139.9922934 1.00150786636    
 0   140.0127279 1.00206489215    
 0   140.0331625 1.00159262057    
 0   140.0535971 1.00096969804    
 0   140.0740317 1.00159776984    
 0   140.0944663 1.00142909645    
 0   140.1149009 1.00229173838    
 0   140.1353354 1.00183484502    
 0   140.1557699 1.0014821896     
 0   140.1762046 1.00174480238    
 0   140.1966392 1.00214199203    
 0   140.2170736 1.0015792603     
 0   140.2375083 1.00079705832    
 0   140.2579429 1.00199829956    
 0   140.2783774 1.0017246228     
 0   140.2988120 1.0022542322     
 0   140.3192466 1.0017642861     
 0   140.3396811 1.00207498193    
 0   140.3805503 1.00241316373    
 0   140.4009850 1.00238171143    
 0   140.4214194 1.00195216488    
 0   140.4418540 1.00139159027    
 0   140.4622887 1.00150584841    
 0   140.4827232 1.00152185289    
 0   140.5031577 1.0027013837     
 0   140.5235922 1.00175809306    
 0   140.5440269 1.00279323554    
 0   140.5644615 1.00180339272    
 0   140.5848961 1.00244837361    
 0   140.6053306 1.00221463849    
 0   140.6257652 1.00220127822    
 0   140.6461998 1.00260480009    
 0   140.6666343 1.00137363741    
 0   140.6870689 1.00181320417    
 0   140.7075035 1.0023367597     
 0   140.7279380 1.00134385515    
 0   140.7483727 1.00223356554    
 0   140.7688073 1.00229159921    
 0   140.7892417 1.00167208633    
 0   140.8096763 1.0015469034     
 0   140.8301110 1.00218402121    
 0   140.8505456 1.00197651954    
 0   140.8709800 1.00163701563    
 0   140.8914146 1.00218610875    
 0   140.9118493 1.00205264523    
 0   140.9322838 1.00148601676    
 0   140.9527183 1.00272587752    
 0   140.9731530 1.00248504476    
 0   140.9935875 1.00225931189    
 0   141.0140221 1.0024597855     
 0   141.0344566 1.00187290787    
 0   141.0548912 1.00265559694    
 0   141.0753258 1.00208994265    
 0   141.0957604 1.00154947803    
 0   141.1161950 1.00286963958    
 0   141.1366295 1.00230252401    
 0   141.1570641 1.00199955208    
 0   141.1774986 1.00166700665    
 0   141.1979333 1.00235965307    
 0   141.2183678 1.00217977654    
 0   141.2388023 1.00234343983    
 0   141.2592370 1.00213197183    
 0   141.2796716 1.00209537026    
 0   141.3001060 1.00179198083    
 0   141.3205406 1.00237266542    
 0   141.3409753 1.00248546227    
 0   141.3614099 1.00131017614    
 0   141.3818443 1.00176943537    
 0   141.4022789 1.00143236693    
 0   141.4227136 1.00118005269    
 0   141.4431482 1.00174146231    
 0   141.4635826 1.00196079339    
 0   141.4840173 1.00161259139    
 0   141.5044519 1.00174612449    
 0   141.5248864 1.00168614245    
 0   141.5453209 1.00200254423    
 0   141.5657555 1.00182078891    
 0   141.5861902 1.00280318616    
 0   141.6066247 1.00122020308    
 0   141.6270593 1.00226835791    
 0   141.6474939 1.00167653975    
 0   141.6679284 1.0013463602     
 0   141.6883629 1.00183533211    
 0   141.7087976 1.00360382809    
 0   141.7292321 1.00195807958    
 0   141.7496667 1.00103357683    
 0   141.7701013 1.00208625466    
 0   141.7905358 1.00237106497    
 0   141.8109704 1.00208395836    
 0   141.8314050 1.00121790678    
 0   141.8518395 1.00190262055    
 0   141.8722741 1.00181967555    
 0   141.8927087 1.00105591352    
 0   141.9131434 1.00148921765    
 0   141.9335778 1.0008714444     
 0   141.9540124 1.0013322345     
 0   141.9744469 1.00175823223    
 0   141.9948815 1.00232604365    
 0   142.0153161 1.00137774291    
 0   142.0357506 1.00195404367    
 0   142.0561852 1.00161871484    
 0   142.0766198 1.00085049939    
 0   142.0970544 1.00138205717    
 0   142.1174889 1.00051871939    
 0   142.1379235 1.00020732771    
 0   142.1583581 1.00089204148    
 0   142.1787926 1.00099189557    
 0   142.1992272 1.00074994946    
 0   142.2196618 1.00046451288    
 0   142.2400963 1.0016740347     
 0   142.2605309 1.00104909422    
 0   142.2809655 1.0012684253     
 0   142.3014000 1.00052157236    
 0   142.3218346 1.00137614246    
 0   142.3422692 1.00106036695    
 0   142.3627038 1.00134629061    
 0   142.3831383 1.00100156785    
 0   142.4035729 1.00052908751    
 0   142.4240075 1.00101040511    
 0   142.4444420 1.00079163071    
 0   142.4648766 0.999952995513   
 0   142.4853111 1.00105111218    
 0   142.5057457 1.00088730972    
 0   142.5261803 1.00054349155    
 0   142.5466149 0.99979503817    
 0   142.5670493 0.99258334607    
 0   142.5874840 0.990553141912   
 0   142.6079186 0.993341750071   
 0   142.6283531 1.00019716834    
 0   142.6487877 1.00029069022    
 0   142.6692223 1.00130085178    
 0   142.6896568 1.00031469695    
 0   142.7100913 1.00040160828    
 0   142.7305260 1.00132103136    
 0   142.7509605 1.00028185296    
 0   142.7713950 1.00120517278    
 0   142.7918297 1.00054209986    
 0   142.8122642 1.00052331198    
 0   142.8326987 1.00040905385    
 0   142.8531333 1.0006403535     
 0   142.8735680 1.00007372502    
 0   142.8940025 1.00162275076    
 0   142.9144370 1.00070993823    
 0   142.9348717 1.00149965536    
 0   142.9553062 1.00124003473    
 0   142.9757407 1.00100010657    
 0   142.9961752 1.00002035353    
 0   143.0166099 1.00004046352    
 0   143.0370444 1.00061474632    
 0   143.0574790 1.00041698651    
 0   143.0779136 1.00038233331    
 0   143.0983481 1.0018322008     
 0   143.1187827 1.00050640289    
 0   143.1392173 1.00094402127    
 0   143.1596518 1.00075711668    
 0   143.1800864 1.00048942422    
 0   143.2005209 1.00163089217    
 0   143.2209554 1.00131191576    
 0   143.2413901 1.00106120196    
 0   143.2618247 1.00067215372    
 0   143.2822592 1.00110824124    
 0   143.3026938 1.00128060263    
 0   143.3231284 1.00176950496    
 0   143.3639974 1.00078689895    
 0   143.3844321 1.00139520868    
 0   143.4048667 1.00132242305    
 0   143.4253011 1.0004571369     
 0   143.4457358 1.0015172603     
 0   143.4661704 1.00109877772    
 0   143.4866048 1.00074013801    
 0   143.5070394 1.00057612679    
 0   143.5274741 1.00064870367    
 0   143.5479086 1.00086601679    
 0   143.5683431 1.00110392699    
 0   143.5887777 1.00030516384    
 0   143.6092123 1.00066533442    
 0   143.6296468 1.00118040061    
 0   143.6500813 1.00068036472    
 0   143.6705160 1.00167834896    
 0   143.6909505 1.00053924689    
 0   143.7113850 1.00137099319    
 0   143.7318196 1.00005994725    
 0   143.7522542 1.002148533      
 0   143.7726887 1.00114957457    
 0   143.7931233 1.00033418068    
 0   143.8135579 1.00164515704    
 0   143.8339924 1.00093720197    
 0   143.8544270 1.00044447248    
 0   143.8748615 1.00073596292    
 0   143.8952961 1.00132047468    
 0   143.9157307 1.00124267895    
 0   143.9361652 1.00112855999    
 0   143.9565998 1.00090853306    
 0   143.9770344 1.00085578783    
 0   143.9974689 1.0008418013     
 0   144.0179034 1.00078884732    
 0   144.0383381 1.00076045675    
 0   144.0587726 1.00122778781    
 0   144.0792071 1.00122778781    
 0   144.0996418 1.00109049714    
 0   144.1200763 1.0002474781     
 0   144.1405108 1.0011849932     
 0   144.1609454 1.00105111218    
 0   144.1813800 1.00110671038    
 0   144.2018145 1.00159477769    
 0   144.2222491 1.00109328053    
 0   144.2426837 1.00058308527    
 0   144.2631182 1.0009644096     
 0   144.2835527 1.00098556336    
 0   144.3039873 1.00130565313    
 0   144.3244219 1.00040870593    
 0   144.3448564 0.999692122351   
 0   144.3652910 1.00049568684    
 0   144.3857255 1.00099607065    
